Data,Refeição,Tempo,Calorias,Gorduras (g),Gorduras saturadas,Gorduras poliinsaturadas,Gorduras monoinsaturadas,Gorduras trans,Colesterol,Sódio (mg),Potássio,Carboidratos (g),Fibra,Açucar,Proteínas (g),Vitamina A,Vitamina C,Cálcio,Ferro,export_headers.note
2019-06-02,Café da manhã,8:55 AM,340.0,25.5,9.9,0.0,0.0,0.0,0.0,212.4,0.0,1.5,0.0,0.0,26.5,0.0,0.0,0.0,0.0,
2019-07-15,Café da manhã,,480.0,37.2,0.0,0.0,0.0,0.0,1032.0,0.0,0.0,2.4,0.0,0.0,31.2,0.0,0.0,0.0,0.0,
2019-07-15,Almoço,,702.0,13.5,6.0,0.0,0.0,0.0,0.0,82.5,0.0,1.5,0.0,0.0,34.5,0.0,0.0,0.0,0.0,
2020-09-06,Almoço,,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,
2020-11-02,Café da manhã,,109.0,0.2,1.0,0.0,0.0,0.0,0.0,271.9,119.0,23.2,1.0,0.2,3.1,0.0,0.0,12.0,0.0,
2020-11-03,Café da manhã,,72.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,
2020-11-03,Almoço,,479.0,21.1,10.2,0.2,1.8,0.2,34.0,338.5,676.0,35.1,2.8,36.0,39.1,0.0,0.0,0.0,0.0,
2020-11-03,Jantar,,756.0,32.0,12.0,0.0,0.0,0.0,80.0,1780.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,
2020-11-03,Lanches,,175.0,1.3,0.0,0.0,0.0,0.0,0.0,290.0,0.0,36.0,1.6,0.0,4.9,0.0,0.0,0.0,0.0,
2020-11-04,Café da manhã,,72.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,
2020-11-04,Almoço,,475.8,14.8,3.8,0.1,0.8,0.0,143.5,1145.9,7.8,29.1,1.8,0.0,54.3,0.0,0.0,10.9,0.4,
2020-11-04,Jantar,9:20 PM,904.0,27.8,1.8,0.0,0.0,0.0,206.0,131.0,512.0,93.0,0.0,3.0,65.4,0.0,0.0,0.7,67.5,
2020-11-04,Lanches,,400.5,19.7,0.0,0.0,0.0,0.0,0.0,3.0,733.5,53.4,12.1,0.0,7.5,0.0,27.2,0.9,6.0,
2020-11-05,Café da manhã,,72.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,
2020-11-05,Almoço,,599.5,13.1,0.5,0.4,0.2,0.0,0.0,4.6,406.6,65.2,15.0,0.0,54.6,0.0,0.0,4.9,17.1,
2020-11-05,Jantar,10:00 PM,770.4,34.2,17.6,0.0,0.0,0.0,238.5,837.6,482.4,40.1,3.8,0.0,39.6,0.0,0.0,0.2,0.2,
2020-11-05,Lanches,10:05 PM,150.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,
2020-11-06,Café da manhã,7:20 AM,72.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,
2020-11-06,Almoço,,852.0,24.0,4.6,0.6,1.1,0.0,140.3,838.0,512.1,41.3,9.2,0.0,40.7,1.3,0.0,4.9,19.0,
